reference_no,reference_text_joined,source_lines_as_printed,project_text_before_last_location_suffix,last_location_suffix_as_printed,location_split_method,reference_scope,source_pdf_page,source_printed_page,source_column,catalog_text_color,verification_status,verification_note
159,TINHERT FIELD DEVELOPMENT EPC-OHANET / ALGERIA,TINHERT FIELD DEVELOPMENT EPC-OHANET / ALGERIA,TINHERT FIELD DEVELOPMENT EPC-OHANET,ALGERIA,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
160,TUPRAS IZMIT REFINERY-RESID UPGRADING PROJECT / TURKIYE,TUPRAS IZMIT REFINERY-RESID UPGRADING PROJECT / TURKIYE,TUPRAS IZMIT REFINERY-RESID UPGRADING PROJECT,TURKIYE,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
161,TURKSTREAM ONSHORE RECEIVEING TERMINAL / TURKIYE,TURKSTREAM ONSHORE RECEIVEING TERMINAL / TURKIYE,TURKSTREAM ONSHORE RECEIVEING TERMINAL,TURKIYE,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
162,UPHILL COURT ATAŞEHİR- ISTANBUL / TURKIYE,UPHILL COURT ATAŞEHİR- ISTANBUL / TURKIYE,UPHILL COURT ATAŞEHİR- ISTANBUL,TURKIYE,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
163,UPPER ZAKUM 750 ISLANDS SURFACE FACILITIES PROJECT -ABU DHABI / UAE,UPPER ZAKUM 750 ISLANDS SURFACE FACILITIES PROJECT -ABU DHABI / UAE,UPPER ZAKUM 750 ISLANDS SURFACE FACILITIES PROJECT -ABU DHABI,UAE,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
164,UQUO GAS PLANT PROJECT / NIGERIA,UQUO GAS PLANT PROJECT / NIGERIA,UQUO GAS PLANT PROJECT,NIGERIA,last slash suffix only; not externally verified,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
165,VOLVOGRADO VGO DEEP CONVERSION COMPLEX (1ST STAGE) / RUSSIA,VOLVOGRADO VGO DEEP CONVERSION COMPLEX (1ST STAGE) / RUSSIA,VOLVOGRADO VGO DEEP CONVERSION COMPLEX (1ST STAGE),RUSSIA,last slash suffix only; not externally verified,international_project_references,134,132,single,blue,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
166,"WASCO, ZUBAIR RENTAL COMPRESSOR SITE","WASCO, ZUBAIR RENTAL COMPRESSOR SITE","WASCO, ZUBAIR RENTAL COMPRESSOR SITE",,no slash suffix,international_project_references,134,132,single,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
167,01 BURDA AVM / ADANA,01 BURDA AVM / ADANA,01 BURDA AVM,ADANA,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
168,1. DIŞ HATLAR TERMİNALİ / ANTALYA,1. DIŞ HATLAR TERMİNALİ / ANTALYA,1. DIŞ HATLAR TERMİNALİ,ANTALYA,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
169,1915 ÇANAKKALE KÖPRÜSÜ,1915 ÇANAKKALE KÖPRÜSÜ,1915 ÇANAKKALE KÖPRÜSÜ,,no slash suffix,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
170,2.KARA HAVACILIK PİST VE HANGAR / MALATYA,2.KARA HAVACILIK PİST VE HANGAR / MALATYA,2.KARA HAVACILIK PİST VE HANGAR,MALATYA,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
171,3S KALE JES / AYDIN,3S KALE JES / AYDIN,3S KALE JES,AYDIN,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
172,4 NCÜ ANA JET ÜS KOMUTANLIĞI AKINCILAR / ANKARA,4 NCÜ ANA JET ÜS KOMUTANLIĞI AKINCILAR / ANKARA,4 NCÜ ANA JET ÜS KOMUTANLIĞI AKINCILAR,ANKARA,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
173,42 MASLAK KONUT-OFİS-AVM / İSTANBUL,42 MASLAK KONUT-OFİS-AVM / İSTANBUL,42 MASLAK KONUT-OFİS-AVM,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
174,54’ÜNCÜ MKNZ.P.TUG.K.YRD.LIĞI / EDİRNE,54’ÜNCÜ MKNZ.P.TUG.K.YRD.LIĞI / EDİRNE,54’ÜNCÜ MKNZ.P.TUG.K.YRD.LIĞI,EDİRNE,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
175,5LEVENT TORUNLAR GYO A.Ş. / İSTANBUL,5LEVENT TORUNLAR GYO A.Ş. / İSTANBUL,5LEVENT TORUNLAR GYO A.Ş.,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
176,A.KEKİLOV ÖĞRETMENLER OKULU / TÜRKMENİSTAN,A.KEKİLOV ÖĞRETMENLER OKULU / TÜRKMENİSTAN,A.KEKİLOV ÖĞRETMENLER OKULU,TÜRKMENİSTAN,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
177,A1 AVM / ANKARA,A1 AVM / ANKARA,A1 AVM,ANKARA,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
178,ABADAN HALI / TÜRKMENİSTAN,ABADAN HALI / TÜRKMENİSTAN,ABADAN HALI,TÜRKMENİSTAN,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
179,ADA RES KUŞADASI / AYDIN,ADA RES KUŞADASI / AYDIN,ADA RES KUŞADASI,AYDIN,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
180,ADANA SAİMBEYLİ DEVLET HASTANESİ,ADANA SAİMBEYLİ DEVLET HASTANESİ,ADANA SAİMBEYLİ DEVLET HASTANESİ,,no slash suffix,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
181,ADANUS TOWERS KARTAL / İSTANBUL,ADANUS TOWERS KARTAL / İSTANBUL,ADANUS TOWERS KARTAL,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
182,AFYON SPOR KOMPLEKSİ / AFYON,AFYON SPOR KOMPLEKSİ / AFYON,AFYON SPOR KOMPLEKSİ,AFYON,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
183,AGT AĞAÇ FABRİKASI / DENİZLİ,AGT AĞAÇ FABRİKASI / DENİZLİ,AGT AĞAÇ FABRİKASI,DENİZLİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
184,AĞAOĞLU MASLAK 1453 / İSTANBUL,AĞAOĞLU MASLAK 1453 / İSTANBUL,AĞAOĞLU MASLAK 1453,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
185,AĞIR HADDECİLİK DİLOVASI / KOCAELİ,AĞIR HADDECİLİK DİLOVASI / KOCAELİ,AĞIR HADDECİLİK DİLOVASI,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
186,AKASYA ACIBADEM KONUT+AVM / İSTANBUL,AKASYA ACIBADEM KONUT+AVM / İSTANBUL,AKASYA ACIBADEM KONUT+AVM,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
187,AKBANK OPERASYON MERKEZİ / İSTANBUL,AKBANK OPERASYON MERKEZİ / İSTANBUL,AKBANK OPERASYON MERKEZİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
188,AKBANK T.A.Ş. ŞUBELERİ (TÜRKİYE GENELİ),AKBANK T.A.Ş. ŞUBELERİ (TÜRKİYE GENELİ),AKBANK T.A.Ş. ŞUBELERİ (TÜRKİYE GENELİ),,no slash suffix,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
189,AKÇAABAT ATIKSU ARITMA TESİSİ / TRABZON,AKÇAABAT ATIKSU ARITMA TESİSİ / TRABZON,AKÇAABAT ATIKSU ARITMA TESİSİ,TRABZON,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
190,AKÇALI KONUTLARI BEYTEPE / ANKARA,AKÇALI KONUTLARI BEYTEPE / ANKARA,AKÇALI KONUTLARI BEYTEPE,ANKARA,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
191,AKINAL SENTETİK TEKSTİL FABRİKASI / GAZİANTEP,AKINAL SENTETİK TEKSTİL FABRİKASI / GAZİANTEP,AKINAL SENTETİK TEKSTİL FABRİKASI,GAZİANTEP,last slash suffix only; not externally verified,domestic_and_regional_project_references,135,133,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
